[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Новый сеанс создан.
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Каталог изменён.
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Старт опроса.
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Старт опроса устройств.
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '234'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'tm_profile' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=234 --parametr=get_lost --timeout=5000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'tm_profile' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'tm_energy' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=234 --parametr=1 2 --timeout=5000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'tm_energy' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '333'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'synchonize' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=333 --timeout=600 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'synchonize' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_energy' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=333 --timeout=600 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'ta_energy' завершён с кодом: 1
